Serial Number,List Year,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type
200401,2020,Guilford,203 NORTONTOWN RD,253440,475000,0.5335,Residential,Single Family
200737,2020,East Haven,256 TYLER ST,127760,210000,0.6083,Residential,Single Family
2000327,2020,Cheshire,23 WOODRIDGE CT,77040,135000,0.5706,Residential,Condo
201317,2020,Danbury,166 OLD BROOKFIELD RD 24A6,79900,197000,0.4055,Residential,Condo
20235,2020,Bethel,150 PUTNAM PARK ROAD 44/47A/19,231360,395000,0.5857,Residential,Single Family
200039,2020,Harwinton,114 MEADOWVIEW DR,310070,537100,0.5773,Residential,Single Family
200536,2020,East Haven,52 SECOND AVE,187830,378000,0.4969,Residential,Two Family
201699,2020,Greenwich,720000,536200,720000,0.7447,Residential,Condo
200000254,2020,Brookfield,1087 FEDERAL RD UNIT 1 & 2,157150,620000,0.2535,Industrial,Condo
20018,2020,Eastford,163 UNION RD,150530,230000,0.6544,Residential,Single Family
201582,2020,Greenwich,4 OLD CAMP LANE,1497090,4000000,0.3742,Residential,Single Family
20231,2020,Bethel,7 ANDREWS STREET,241780,428000,0.5649,Residential,Two Family
200114,2020,East Haven,69 PONDVIEW TERR,178290,305000,0.5845,Residential,Single Family
200953,2020,Bristol,26 MARTIN RD,94010,140000,0.6715,Residential,Single Family
200175,2020,Essex,32 RIVER ROAD DR,615700,1462500,0.421,Residential,Single Family
201091,2020,Bristol,129 LUFKIN LN,193550,405900,0.4768,Residential,Single Family
200590,2020,Groton,7 FOREST AVE,166040,330000,0.5031,Residential,Single Family
200189,2020,East Windsor,NORTH RD,1950,50000,0.039,Vacant Land,Single Family
2000168,2020,Cheshire,105 WINTHROP DR,168490,239000,0.7049,Residential,Single Family
2020127,2020,Ansonia,37 WOODBRIDGE AVE,110400,333000,0.3315,Residential,Two Family
200095,2020,Goshen,44 ROCKWALL COURT,322150,628000,0.5129,Residential,Single Family
201250,2020,Cromwell,10 CHELSEA DRIVE,185430,330000,0.5619,Residential,Single Family
200417,2020,Glastonbury,279 ADDISON RD,166800,280000,0.5957,Residential,Single Family
200616,2020,Farmington,32 CENTERBROOK DRIVE,365260,702000,0.5203,Residential,Single Family
200040,2020,Coventry,777 DUNN RD,147700,227000,0.6506,Residential,Single Family
200089,2020,Enfield,6 YALE DR,145870,257500,0.5664,Residential,Single Family
200629,2020,Groton,8 MERYL CT,79240,140000,0.566,Residential,Condo
201192,2020,Manchester,27A THOMPSON ROAD,44600,65000,0.6861,Residential,Condo
200727,2020,East Haven,37 PINE VIEW DR,168930,247000,0.6839,Residential,Single Family
200530,2020,Manchester,503 BUSH HILL ROAD,163000,235000,0.6936,Residential,Single Family
2020385,2020,Berlin,LOT 10 SPICEWOOD LANE,88100,135000,0.6525,Vacant Land,Single Family
20705,2020,East Hartford,265 PRESTIGE PARK RD,1124080,3328456,0.3377,Commercial,Single Family
200492,2020,East Haven,204 GOLF DRIVE,114940,188888,0.6085,Residential,Condo
200653,2020,Manchester,69 GREEN MANOR ROAD,115600,220000,0.5254,Residential,Single Family
201173,2020,Greenwich,8 NORIAS ROAD,710640,1347000,0.5275,Residential,Single Family
200288,2020,Madison,34 HORSEPOND RD,225600,440000,0.5127,Residential,Single Family
20036,2020,Bethel,8 BROOKWOOD DRIVE,155680,305200,0.51,Residential,Single Family
201564,2020,Greenwich,64 BENJAMIN STREET,1006180,1820000,0.5528,Residential,Single Family
20030,2020,Farmington,47 FLORENCE WAY,217710,342500,0.6356,Residential,Condo
20461,2020,Darien,8 TYLER DRIVE,796390,1098000,0.7253,Residential,Single Family
200309,2020,Farmington,30 CHILTERN ST,309720,510000,0.6072,Residential,Single Family
200057,2020,Cornwall,SHARON GOSHEN TPKE,449120,330000,1.3609,Vacant Land,Single Family
201294,2020,Griswold,72-74 NORTH MAIN ST,359520,475000,0.7568,Commercial,Single Family
200421,2020,Killingly,72 W PALMER ST,150640,272000,0.5538,Residential,Single Family
200143,2020,Hebron,3 GILBERT LANE,67212,354073,0.1898,Residential,Condo
20833,2020,East Hartford,71 MAIN ST,112360,242000,0.4642,Residential,Single Family
201662,2020,Greenwich,183 CAT ROCK ROAD,1048040,148000,7.0814,Vacant Land,Single Family
2020390,2020,Berlin,17 DAYL DR,180600,290000,0.6227,Residential,Single Family
201029,2020,Greenwich,37 MEYER PLACE,1047410,1480000,0.7077,Residential,Single Family
200177,2020,Groton,119 WARNER ST,126840,215000,0.5899,Residential,Single Family
20000103,2020,Granby,92 MOUNTAIN RD,163870,300000,0.5462,Residential,Single Family
200763,2020,Bristol,77 DAISY CIRCLE,150010,290000,0.5172,Residential,Single Family
200021,2020,Cromwell,207 WEST ST,726000,4246000,0.1709,Commercial,Single Family
20516,2020,Hartford,366 BELLEVUE ST,24325,80100,0.3037,Residential,Three Family
200043,2020,East Haven,125 ESTELLE RD,101430,7108,14.2698,Residential,Single Family
20085,2020,Barkhamsted,34 DEER RUN RD,171110,317590,0.5387,Residential,Single Family
200342,2020,Branford,19 BEACH PL,190700,90000,2.1188,Residential,Single Family
201044,2020,Greenwich,14 PATRICIA LANE,1182580,2200000,0.5375,Residential,Single Family
200420,2020,Farmington,8-F LYLE CT,123770,231000,0.5358,Residential,Condo
201524,2020,Danbury,57 NORTH ST 115,75700,135000,0.5607,Commercial,Condo
201431,2020,Greenwich,53 ROUND HILL ROAD,4489100,5925000,0.7576,Residential,Single Family
201122,2020,Danbury,99 STARRS PLAIN RD,354400,689000,0.5143,Residential,Single Family
200573,2020,Glastonbury,18 MARILYN DR,267100,501000,0.5331,Residential,Single Family
201100,2020,Griswold,148 MATHEWSON SR UNIT 112,94360,143000,0.6598,Residential,Condo
201598,2020,Greenwich,7 SHELTER DRIVE,1490720,2025000,0.7361,Residential,Single Family
200776,2020,Enfield,C SMYTH FARM CORNERS,20540,36400,0.5642,Commercial,Single Family
200578,2020,East Haven,187 EDDON DR,173420,320000,0.5419,Residential,Single Family
2020067,2020,Berlin,176 ALLING STREET,154900,231000,0.6705,Residential,Single Family
20004,2020,Ashford,404 TURNPIKE RD,177100,350000,0.506,Residential,Single Family
200341,2020,Killingly,23 ORLEANS AVE,108920,252000,0.4322,Residential,Single Family
200397,2020,Bristol,42 BETHEL ST,81410,196000,0.4153,Residential,Two Family
200753,2020,Manchester,95 SCHOOL STREET,104300,200000,0.5215,Residential,Single Family
2020025,2020,Ansonia,110 BEAVER ST,117300,332500,0.3527,Residential,Three Family
200820,2020,Manchester,106 COLEMAN ROAD,104000,235000,0.4425,Residential,Single Family
200727,2020,Groton,12 CHELSEA WAY,170240,330000,0.5158,Residential,Single Family
2000502,2020,Cheshire,56 MACKENZIE WILLOW TERR,0,624382,0,Residential,Condo
20072,2020,Darien,97 GARDINER STREET,652050,1250000,0.5216,Residential,Single Family
20006,2020,Bethel,62 KINGSWOOD DRIVE,173530,320000,0.5422,Residential,Condo
200029,2020,Kent,KENMONT RD,113800,75000,1.5173,Vacant Land,Condo
20079,2020,Lisbon,19 RIVER RD,93690,170000,0.5511,Residential,Single Family
20120,2020,Bethel,8 BARNUM COURT UNIT 8,194040,319500,0.6073,Residential,Condo
200352,2020,Madison,37 DUDLEY LN,335700,565000,0.5942,Apartments,Condo
200192,2020,East Haddam,96 LONGWOOD DR,83020,175000,0.4744,Residential,Single Family
200911,2020,Greenwich,1525 EAST PUTNAM AVENUE UN409,183820,290000,0.6338,Residential,Condo
200027,2020,Bethany,93 BEACON RD,256060,450444,0.5684,Residential,Single Family
200471,2020,Farmington,16 CEDAR LA,198080,435000,0.4553,Residential,Single Family
20911,2020,Hartford,119 ADAMS ST,60675,170000,0.3569,Residential,Single Family
20995,2020,Hartford,118 ENFIELD ST,66555,150000,0.4437,Residential,Three Family
200040,2020,Branford,383 EAST MAIN ST,718500,150000,4.79,Vacant Land,Three Family
200167,2020,Greenwich,2 OLD CHURCH ROAD UN3,1471680,2000000,0.7358,Residential,Condo
200529,2020,East Haven,73 BURR ST,124130,300000,0.4138,Residential,Two Family
200092,2020,Beacon Falls,193 CONCORD COURT,74340,165000,0.4505,Residential,Condo
200051,2020,East Haddam,163 LEESVILLE RD,287090,360000,0.7974,Residential,Two Family
200083,2020,East Granby,28 BRIGHTON DRIVE,309200,316000,0.9784,Residential,Single Family
200573,2020,Groton,12 PEARL ST (NOANK),247520,405000,0.6112,Residential,Single Family
200020,2020,Goshen,176 SCHOOL HILL ROAD,72300,130000,0.5561,Vacant Land,Single Family
20000110,2020,Brookfield,7 LAKEVIEW RD,358810,460000,0.78,Residential,Single Family
20359,2020,Bethel,91 PLUMTREES ROAD,341810,655000,0.5218,Residential,Single Family
201328,2020,Danbury,27 GREAT PLAIN RD,186800,375000,0.4981,Residential,Single Family
20149,2020,Derby,6 HAWTHORNE PL,77980,153000,0.5096,Residential,Condo
201360,2020,Bristol,6 LEE ST,238350,445000,0.5356,Residential,Single Family
200025,2020,East Windsor,3 KINGS CRT,208510,345000,0.6043,Residential,Single Family
200705,2020,Branford,15A HARBOUR VILLAGE,154100,330000,0.4669,Residential,Condo
200564,2020,Greenwich,28 TOMAC AVENUE,1772890,2370000,0.748,Residential,Single Family
200185,2020,Canton,31 GARRETT ROAD,543440,985000,0.5517,Residential,Single Family
200896,2020,Bristol,32 DWIGHT ST,102270,245000,0.4174,Residential,Two Family
200565,2020,Groton,208 & 214 ROUTE 12,702380,900000,0.7804,Commercial,Two Family
201422,2020,Danbury,59 KING ST,151000,371776,0.4061,Residential,Single Family
200637,2020,Manchester,88 HOLLISTER STREET,108700,180000,0.6038,Residential,Single Family
200755,2020,Enfield,14 GROVE ST,87610,237500,0.3689,Residential,Single Family
200487,2020,East Haven,155 MORGAN AVE,226930,290000,0.7825,Residential,Single Family
200291,2020,Farmington,84 YORKSHIRE COURT,148700,567069,0.2622,Residential,Condo
20089,2020,Lebanon,330 CLUBHOUSE RD,182010,370000,0.4919,Residential,Single Family
200157,2020,Killingly,16 BARTLETT MEADOW DR,133280,260000,0.5126,Residential,Single Family
20574,2020,Darien,1 DOGWOOD LANE,781900,1375000,0.5686,Residential,Single Family
200135,2020,Killingworth,621 ROUTE 148,211100,175000,1.2062,Residential,Single Family
20000119,2020,Brookfield,70 LONG MEADOW HILL RD,184960,355000,0.521,Residential,Single Family
200100,2020,Canton,18 HILLTOP DRIVE,229430,350000,0.6555,Residential,Single Family
200080,2020,Kent,GORHAM RD,11800,395000,0.0298,Vacant Land,Single Family
200025,2020,Manchester,150 CROFT DRIVE,123200,224000,0.55,Residential,Single Family
200053,2020,Bethany,17 PERKINS RD,205940,325000,0.6336,Residential,Single Family
200355,2020,Branford,16 PROSPECT ST,177100,278000,0.637,Residential,Single Family
200334,2020,Greenwich,20 SCOTT ROAD,787290,1349000,0.5836,Residential,Single Family
200694,2020,Manchester,28 MIDDLE TURNPIKE EAST,96600,168000,0.575,Residential,Single Family
200021,2020,Essex,48 SAYBROOK RD,213400,500000,0.4268,Residential,Single Family
200408,2020,Farmington,12 SOUTH RIDGE RD,360310,540000,0.6672,Residential,Single Family
20265,2020,East Hartford,48 CANTERBURY ST,76440,122500,0.624,Residential,Single Family
200331,2020,Manchester,127 GREEN MANOR ROAD,108400,215000,0.5041,Residential,Single Family
201238,2020,Griswold,33 RUSSEL STREET UNIT 10,47180,123800,0.3811,Residential,Condo
20731,2020,East Hartford,176 OAK ST,94740,230000,0.4119,Residential,Single Family
200331,2020,Killingly,3056 DAVID AVE,161910,200000,0.8095,Residential,Single Family
200063,2020,Killingly,25 BEATRICE AVE,105000,210000,0.5,Residential,Single Family
200944,2020,Danbury,14 BOULDER RIDGE W,124900,255000,0.4898,Residential,Single Family
2020081,2020,Ansonia,81 HODGE AVE,113400,299000,0.3792,Residential,Two Family
200062,2020,Avon,96 FOX DEN ROAD,254480,435000,0.585,Residential,Single Family
200142,2020,Cromwell,15 NORTH RIDGE DRIVE,258370,450000,0.5741,Residential,Single Family
200110,2020,Harwinton,61 BULL RD,156590,315000,0.4971,Residential,Single Family
2020210,2020,Ansonia,34 WOODBRIDGE AVE,100300,85000,1.18,Residential,Single Family
20226,2020,Burlington,47 WARREN GLEN,441070,750000,0.588,Residential,Single Family
200467,2020,Manchester,63 PITKIN STREET,124900,249900,0.4997,Residential,Single Family
201047,2020,Hartford,10 CHAPIN PL,51744,185000,0.2796,Residential,Single Family
200010,2020,Canaan,55 MUSIC MOUNTAIN RD,161100,183000,0.8803,Residential,Single Family
200041,2020,Branford,184 AUSTIN RYER LA,94500,150000,0.63,Residential,Condo
20820,2020,Hartford,241 WESTLAND ST,120680,240000,0.5028,Apartments,Condo
200048,2020,Killingly,150 BREAKNECK HILL RD,122920,140000,0.878,Residential,Single Family
2000388,2020,Cheshire,770 WARD LANE,207180,397000,0.5218,Residential,Single Family
200384,2020,Farmington,101 WEBSTER ST,156590,265000,0.5909,Residential,Single Family
20347,2020,East Hartford,81-83 GREAT HILL RD,79070,145000,0.5453,Residential,Single Family
200159,2020,Colchester,84 WOODBINE RD,177400,320000,0.5543,Residential,Single Family
2000135,2020,Cheshire,17 COUNTRY CLUB RD,132610,171000,0.7754,Residential,Single Family
200602,2020,East Haven,87 TYLER ST,120130,295000,0.4072,Residential,Single Family
200504,2020,Danbury,1 SPRUCE MOUNTAIN,185600,340000,0.5458,Residential,Single Family
20393,2020,East Hartford,46-48 SAUNDERS ST,101830,239900,0.4244,Residential,Two Family
200103,2020,Beacon Falls,5 COUNTRY COURT,123970,299000,0.4146,Residential,Two Family
200672,2020,East Haven,47 GUILFORD CT,110650,229900,0.4812,Residential,Single Family
200460,2020,Glastonbury,125 SHERMAN RD,212500,335000,0.6343,Residential,Single Family
201306,2020,Bristol,18 JANICE LANE,117320,255000,0.46,Residential,Single Family
201109,2020,Danbury,17 AUNT HACK RD,215800,398000,0.5422,Residential,Single Family
200025,2020,Coventry,184 OLD OAK TR,143500,251900,0.5696,Residential,Single Family
201276,2020,Manchester,101 CRESTWOOD DRIVE,117700,240000,0.4904,Residential,Single Family
200473,2020,Madison,74 TAYLOR AVE,249200,555000,0.449,Residential,Single Family
200227,2020,Killingly,69 BROOKSIDE DR,168700,315000,0.5355,Residential,Single Family
200712,2020,East Haven,86 VICTOR ST,99380,243000,0.409,Residential,Single Family
200128,2020,Hebron,119 SCARBORO RD,165970,290000,0.5723,Residential,Single Family
200106,2020,Canton,64 POWDER MILL ROAD,212830,285000,0.7467,Residential,Single Family
200305,2020,Glastonbury,160 HOMESTEAD DR,267800,470000,0.5697,Residential,Single Family
200344,2020,Manchester,45 GERALD DRIVE,181500,285000,0.6368,Residential,Single Family
200067,2020,Essex,54 MELODY LN,172400,293750,0.5868,Residential,Single Family
200673,2020,Bristol,181 MERCIER AVE,108290,180000,0.6016,Residential,Single Family
20071,2020,Ashford,296 FERENCE RD,65200,150000,0.4346,Residential,Single Family
20391,2020,East Hartford,28 ELLSWORTH ST,110530,190000,0.5817,Residential,Single Family
200099,2020,Danbury,15 SCUPPO RD 803,161400,270000,0.5977,Residential,Condo
201354,2020,Bristol,103 BUTTERNUT LN,61950,129900,0.4769,Residential,Condo
200003,2020,Goshen,33C NORTH STREET,101850,160000,0.6365,Residential,Condo
200462,2020,Madison,69 FORT PATH RD,216100,365000,0.592,Residential,Single Family
200883,2020,Manchester,25 DIVISION STREET,83300,200000,0.4165,Residential,Single Family
200209,2020,East Lyme,468R BOSTON POST RD,305550,470000,0.6501,Residential,Single Family
200023,2020,Coventry,280 ROOT RD,92600,80000,1.1575,Residential,Single Family
200046,2020,Beacon Falls,34 LASKY ROAD,158030,243000,0.6503,Residential,Single Family
200870,2020,Manchester,191 GARTH ROAD,72100,75000,0.9613,Vacant Land,Single Family
200150,2020,Mansfield,51 BUNDY LA,248100,365000,0.6797,Residential,Single Family
20067,2020,Bethel,24 FOREST WSY,279790,405000,0.6908,Residential,Condo
2000110,2020,Bloomfield,43 MILLS LANE,177940,290000,0.6135,Residential,Single Family
200197,2020,Avon,71 NORTH FARMS ROAD,355850,592000,0.601,Residential,Single Family
200198,2020,Bolton,9 MAPLE VALLEY RD,254900,545000,0.4677,Residential,Single Family
200598,2020,Groton,62 SOUND BREEZE AVE,328020,635000,0.5165,Residential,Single Family
200034,2020,East Granby,12 WYNCAIRNE,259100,250000,1.0364,Residential,Single Family
200233,2020,Bristol,418 FARMINGTON AVE,83310,205000,0.4064,Residential,Single Family
20118,2020,East Hartford,64 CONNECTICUT BLVD,281600,295000,0.9545,Commercial,Single Family
20879,2020,Hartford,421 WETHERSFIELD AVE #000B,18706,60000,0.3118,Residential,Condo
2000377,2020,Cheshire,9 SIERRA CT,75920,212500,0.3572,Vacant Land,Condo
200336,2020,Madison,77 OVERSHORES DR WEST,326700,675000,0.484,Residential,Single Family
20001,2020,Columbia,42 OAKWOOD LANE,201900,340000,0.5938,Residential,Single Family
20483,2020,Darien,24 BIRCH RD,1128820,1800000,0.6271,Residential,Single Family
200242,2020,Branford,175 CHERRY HILL RD,187100,300000,0.6237,Residential,Single Family
200042,2020,Coventry,57 HICKORY DR,100600,201000,0.5004,Residential,Single Family
201418,2020,Greenwich,19 DESIREE DRIVE,2170000,4819000,0.4503,Residential,Single Family
200581,2020,Farmington,50 FOREST HILLS DR,279400,750000,0.3725,Residential,Single Family
200353,2020,Manchester,4 DEVON DRIVE,109500,195000,0.5615,Residential,Single Family
200564,2020,Manchester,9 DELMONT STREET,145700,100000,1.457,Commercial,Single Family
200968,2020,Danbury,4A FLIRTATION DR,205700,515000,0.3994,Residential,Single Family
200487,2020,Farmington,6 COPPER BEECH LA,549000,890000,0.6168,Residential,Single Family
200126,2020,Essex,99 BOOK HILL RD,258300,499900,0.5167,Residential,Single Family
200534,2020,Danbury,166 OLD BROOKFIELD RD 18B1,100700,176000,0.5721,Residential,Condo
200455,2020,East Haven,140 THOMPSON ST #31G,85220,152000,0.5606,Residential,Condo
20026,2020,Franklin,245 ROUTE 32,159520,289900,0.5502,Residential,Single Family
200052,2020,Danbury,45 POCONO LANE #8,236900,380000,0.6234,Residential,Condo
200736,2020,Manchester,61 PLYMOUTH LANE,158800,310000,0.5122,Residential,Single Family
200204,2020,Farmington,81 TUNXIS VILLAGE,139890,199000,0.703,Residential,Condo
20204,2020,Bethel,197 WALNUT HILL ROAD,331800,615000,0.5395,Residential,Single Family
200016,2020,Harwinton,711 HILL RD,227880,555000,0.4105,Residential,Single Family
200090,2020,Avon,72 SUNRISE DRIVE,97330,219000,0.4444,Vacant Land,Single Family
20492,2020,Bethel,101 CHESTNUT STREET UNIT E,92470,234000,0.3951,Residential,Condo
20335,2020,Darien,33 OLD FARM ROAD,801290,1225000,0.6541,Residential,Single Family
201272,2020,Greenwich,55 CHURCH STREET UN A & B,875210,2900000,0.3017,Residential,Condo
200261,2020,East Windsor,24 BROAD BROOK RD,128790,285000,0.4518,Residential,Single Family
200031,2020,Cornwall,169 CREAM HILL RD,329700,800000,0.4121,Residential,Single Family
20900,2020,Hartford,161 RUSS ST,137270,278500,0.4928,Apartments,Single Family
200277,2020,Danbury,LIBERTY AV LOT 4,6300,65000,0.0969,Vacant Land,Single Family
200123,2020,Greenwich,45 HICKORY DRIVE,885220,1340000,0.6606,Residential,Single Family
201171,2020,Hartford,67 HANMER ST,63615,200000,0.3181,Residential,Single Family
201343,2020,Cromwell,5 CHEROKEE COURT,108500,185000,0.5864,Residential,Condo
200296,2020,Manchester,25 MARJORIE LANE,90000,149400,0.6024,Residential,Condo
200178,2020,Farmington,3 NORFOLK GARDENS,300050,475000,0.6316,Residential,Single Family
20401,2020,Bethel,104 LEXINGTON BLVD,193060,335000,0.5762,Residential,Condo
200591,2020,Manchester,128 CAMPFIELD ROAD,99800,204000,0.4892,Residential,Single Family
200077,2020,Coventry,341 DUNN RD,151900,249900,0.6078,Residential,Single Family
200222,2020,Canton,48 FOREST LANE,153700,287700,0.5342,Residential,Single Family
200632,2020,East Haven,130 COE AVE #64,28240,92000,0.307,Residential,Condo
20062,2020,Bolton,39 STONEHEDGE LN,189400,273750,0.6918,Residential,Single Family
201274,2020,Greenwich,44 ARCADIA ROAD,735000,1160000,0.6336,Residential,Single Family
200261,2020,Killingly,102 COTTAGE ST,145530,150000,0.9702,Residential,Three Family
200070,2020,Coventry,480 BUNKER HILL RD,254000,429900,0.5908,Residential,Single Family
2020409,2020,Berlin,106 ELLWOOD RD,245100,450000,0.5446,Residential,Single Family
201101,2020,Bristol,489 WOLCOTT ST UN 100,85330,164000,0.5203,Residential,Condo
200345,2020,Farmington,84 TUNXIS VILLAGE,132890,213000,0.6238,Residential,Condo
2020217,2020,Berlin,259 WEST LN,218900,394900,0.5543,Residential,Single Family
200152,2020,Glastonbury,41 HORIZON LN,329000,550000,0.5981,Residential,Single Family
2020154,2020,Ansonia,95 JACKSON ST,148700,310000,0.4796,Residential,Two Family
20386,2020,Bethel,159 GRASSY PLAIN STREET,1096470,600000,1.8274,Commercial,Two Family
20166,2020,East Hartford,55 OLMSTED ST,86230,185000,0.4661,Residential,Single Family
200078,2020,Mansfield,14 PATRIOTS SQ,77100,130000,0.593,Residential,Condo
201114,2020,Bristol,1 FARRELL AVE,106610,175000,0.6092,Residential,Single Family
200040,2020,Manchester,269 PARKER STREET,113200,220000,0.5145,Residential,Single Family
200583,2020,Greenwich,2 CONYERS FARM DRIVE,3658200,4200000,0.871,Residential,Single Family
20389,2020,Darien,11 CATALPA TERRACE,475370,739000,0.6432,Residential,Single Family
201785,2020,Greenwich,57 HILLSIDE DRIVE,1187690,1800000,0.6598,Residential,Single Family
200200,2020,Colchester,190 NEW LONDON RD,143400,277500,0.5167,Residential,Single Family
200562,2020,Manchester,571 HARTFORD ROAD,42800,82000,0.5219,Residential,Condo
200373,2020,Killingly,704 LAINEY LANE,106820,185000,0.5774,Residential,Condo
20298,2020,East Hartford,109 SUMMERSET DR,119400,140000,0.8528,Residential,Single Family
20019,2020,Farmington,1634 FARMINGTON AV UNIT 7,61130,112000,0.5458,Residential,Condo
200208,2020,Essex,24 SUNSET TERR,173200,350000,0.4948,Residential,Single Family
200250,2020,Madison,234 FORT PATH RD,175300,255500,0.6861,Residential,Single Family
200503,2020,Manchester,806F HARTFORD ROAD,68900,100000,0.689,Residential,Condo
200354,2020,East Haven,11 JILLSON DR,164490,350000,0.4699,Residential,Single Family
200227,2020,Mansfield,194 CEDAR SWAMP RD,135200,250000,0.5408,Residential,Single Family
20217,2020,East Hartford,31 HIGH ST #11106,78270,132000,0.5929,Residential,Condo
200488,2020,Branford,34 HOWARD AVE,129400,265000,0.4883,Residential,Single Family
200336,2020,East Lyme,77 LOVERS LN,86100,124000,0.6943,Vacant Land,Single Family
200824,2020,Enfield,22 SPRING GARDEN,100860,230000,0.4385,Residential,Single Family
201199,2020,Griswold,61 SOUTH MAIN ST UNIT 101,77000,177500,0.4338,Residential,Condo
20011,2020,Darien,26 TORY HOLE ROAD,1367590,2200276,0.6215,Residential,Single Family
201215,2020,Cromwell,1 MIDWAY DRIVE,78260,120000,0.6521,Residential,Condo
201034,2020,Bristol,575 WITCHES ROCK RD,287260,610000,0.4709,Residential,Single Family
200327,2020,Greenwich,33 SACHEM ROAD,715960,1170000,0.6119,Residential,Single Family
200686,2020,East Haven,75 REDWOOD DR #1004,88590,148000,0.5985,Residential,Condo
200085,2020,Bristol,194 HULL ST,107870,182000,0.5926,Residential,Single Family
20038,2020,Colebrook,92 BUNNELL STREET,159000,222000,0.7162,Residential,Single Family
200411,2020,Glastonbury,29 HAMPTON CT,472600,704500,0.6708,Residential,Single Family
20681,2020,East Hartford,131 LEVERICH DR,149900,320000,0.4684,Residential,Single Family
200123,2020,Mansfield,97 JONATHAN LA,220100,371000,0.5932,Residential,Single Family
200047,2020,Chester,31 CASTLE VIEW DR,156990,270000,0.5814,Residential,Single Family
200041,2020,Columbia,448 ROUTE 87 EAST,167990,232500,0.7225,Residential,Single Family
200250,2020,Bristol,36 WILLIS ST UN 4A,75110,140000,0.5365,Residential,Condo
200138,2020,Groton,28 PEPPERIDGE LN,137970,199000,0.6933,Residential,Single Family
200809,2020,Danbury,43 BRENTWOOD CI,18200,626832,0.029,Residential,Condo
20324,2020,Hartford,202 HILLSIDE AVE,75495,280000,0.2696,Residential,Three Family
200521,2020,Danbury,15 BRENTWOOD CI,18200,560274,0.0324,Residential,Condo
200283,2020,Colchester,393 LINEWOOD CEMETERY RD,74900,157000,0.477,Residential,Single Family
20419,2020,Darien,13 LYNN COURT,560910,1235000,0.4541,Residential,Single Family
200164,2020,Easton,235 ADAMS ROAD,546120,950000,0.5748,Residential,Single Family
200060,2020,Columbia,287 ROUTE 66 SOUTH,36400,72500,0.502,Vacant Land,Single Family
200543,2020,Guilford,439 SAW MILLRD,194730,398000,0.4892,Residential,Single Family
200144,2020,Killingworth,2 WOODLAND TRAIL,0,184995,0,Residential,Single Family
20618,2020,Darien,147 HOLMES AVE,652820,1344800,0.4854,Residential,Single Family
20148,2020,Burlington,102 STAFFORD RD,192710,174000,1.1075,Residential,Single Family
200053,2020,Kent,15 BALD HILL RD,208600,450000,0.4635,Residential,Single Family
200207,2020,Bristol,BROAD PLACE LOTS 225-6 AND 224,8400,38500,0.2181,Vacant Land,Single Family
200001,2020,Killingworth,35 WHITEWOOD ROAD,114460,225000,0.5087,Residential,Single Family
200000416,2020,Brookfield,20 POCONO RIDGE RD,206560,440000,0.4694,Residential,Single Family
201246,2020,Hartford,26 WILBUR ST,84489,204000,0.4141,Residential,Two Family
200269,2020,East Lyme,46 CRESCENT AVE,175630,469000,0.3745,Residential,Single Family
200352,2020,Killingly,78 R & R PARK,33530,52400,0.6398,Residential,Single Family
200298,2020,Avon,11 MOUNTAIN LEDGE RD,159720,340000,0.4697,Residential,Single Family
200137,2020,East Windsor,15B REGGIE WAY,149630,249900,0.5987,Residential,Condo
20640,2020,Hartford,100 WELLS ST #1207 & 100 WELLS,24080,95000,0.2534,Residential,Condo
200375,2020,East Lyme,81 E PATTAGANSETT RD54,84070,153000,0.5494,Residential,Condo
201254,2020,Griswold,61 SOUTH MAIN ST UNIT 105,87500,165000,0.5303,Residential,Condo
200222,2020,Essex,38 SOUTH WINDS DR,299600,649000,0.4616,Residential,Single Family
200119,2020,Easton,620 CONGRESS STREET,146010,85000,1.7178,Vacant Land,Single Family
200770,2020,Enfield,8 MEETINGHOUSE LA,290420,540000,0.5378,Residential,Single Family
200345,2020,Avon,521 LOVELY STREET,157320,260000,0.605,Residential,Single Family
200407,2020,Bristol,43 ELM ST,105420,190000,0.5548,Residential,Single Family
200019,2020,Beacon Falls,15 TWIN OAKS TRAIL,0,506581,0,Residential,Condo
200039,2020,Bethany,260 SPERRY RD,331190,400000,0.8279,Residential,Single Family
200200,2020,Mansfield,24 WILLOWBROOK RD,231900,460000,0.5041,Residential,Single Family
2020257,2020,Ansonia,15 SHEASBY RD,156200,302000,0.5172,Residential,Single Family
200071,2020,East Granby,45 HEMLOCK ROAD & LOT 7,104800,160000,0.655,Residential,Single Family
201113,2020,Griswold,328 GEER RD,43470,40000,1.0868,Vacant Land,Single Family
200591,2020,Enfield,46 OLDEFIELD FARMS,119680,216000,0.554,Residential,Condo
200146,2020,Litchfield,29 CHESTNUT HILL RD,332090,660000,0.5031,Commercial,Condo
200391,2020,Groton,183 BRANDEGEE AVE,858410,2450000,0.3504,Apartments,Condo
201188,2020,Hartford,2 FRANKLIN AVE #002A,28334,83500,0.3393,Residential,Condo
200259,2020,Manchester,102 GLENWOOD STREET,199600,330000,0.6048,Residential,Two Family
2020316,2020,Ansonia,74 GARDEN ST,123400,405000,0.3047,Residential,Two Family
200553,2020,Glastonbury,45 CONESTOGA WAY,109600,227000,0.4828,Residential,Condo
2000527,2020,Cheshire,1339 CHESHIRE ST,147440,249900,0.5899,Residential,Single Family
